"","ioname","orgname","year","russia","china","afghanistan","georgia","iran","india","kazakhstan","kyrgyzstan","tajikistan","turkmenistan","uzbekistan","usa","pakistan"
"7426","IMSO","Int'l Mobile Satellite Org.",2005,1,1,0,0,1,1,0,0,0,0,0,1,1
"7496","INFOFISH","InfoFish",2005,0,0,0,0,1,1,0,0,0,0,0,0,1
"7639","INTERPOL","Intl Criminal Police Comm",2005,1,1,0,1,1,1,1,1,0,0,1,1,1
"7746","IOEz","Intl Office Epizootics",2005,1,1,1,1,1,1,1,1,1,1,1,1,1
"7789","IOLM","Intl Org Legal Metrology",2005,1,1,0,0,0,1,1,0,0,0,0,1,1
"7833","IOMig","Intl Org for Migration",2005,0,0,1,1,1,0,1,1,1,0,0,1,1
"7907","IOPCF","Int'l Oil Pollution Compens. Funds",2005,1,0,0,1,0,1,0,0,0,0,0,0,0
"7958","IOcC","Intergov. Oceanographic Comm.",2005,1,1,1,1,1,1,1,0,0,0,0,1,1
"7993","IPC","Int'l Pepper Community",2005,0,0,0,0,0,1,0,0,0,0,0,1,0
"8005","IPGRI","Int'l Plant Genetic Resource Instit.",2005,1,1,0,0,1,1,0,0,0,0,0,0,1
"8097","IRC","Intl Rice Comm",2005,0,0,0,0,1,1,0,0,0,0,0,1,1
"8186","IRSG","Intl Rubber Study Group",2005,1,0,0,0,0,0,0,0,0,0,0,1,0
"8206","ISA","Int'l Seabed Authority",2005,1,1,0,1,0,1,0,0,0,0,0,0,1
"8219","ISB","Interstate Bank",2005,1,0,0,0,0,0,1,1,1,1,1,0,0
"8251","ISDB","Islamic Dev. Bank",2005,0,0,1,0,1,0,0,1,0,1,0,0,1
"8384","ITTO","Int'l Tropical Timber Org",2005,0,1,0,0,0,1,0,0,0,0,0,1,0
"8445","ITU","Intl Telecom Union",2005,1,1,1,1,1,1,1,1,1,1,1,1,1
"8459","ITVRC","Intgvt TV & Radio Corp",2005,1,0,0,1,0,0,1,1,1,0,1,0,0
"8520","IUPCT","Intl Union Publication of Customs Tariffs",2005,1,1,0,0,1,1,0,0,0,0,0,1,1
"8578","IUPIP","Intl Union for Protection of Industrial Prop",2005,1,1,0,1,1,1,1,1,1,1,1,1,1
"8635","IUPLAW","Intl Union for Protection of Lit & Art Works",2005,1,1,0,1,0,1,1,1,1,0,1,1,1
"8677","IUPNVP","Union for Protection of New Varieties of Plants",2005,1,1,0,0,0,0,0,1,0,0,1,1,0
"8812","IWhale","Intl Whaling Comm",2005,1,1,0,0,0,1,0,0,0,0,0,1,0
"8911","JINR","Joint Instit for Nuke Research",2005,1,0,0,1,0,0,1,0,0,0,1,0,0
"9411","MFO","Multilateral Force Org.",2005,0,0,0,0,0,0,0,0,0,0,0,1,0
"9429","MIGA","Multilateral Investment Guarantee Agency",2005,1,1,0,1,0,1,1,1,0,1,1,1,1
"9503","Montreal","Multilat. Fund for the Implement. of the Montreal Protocol",2005,1,1,1,1,1,1,1,1,1,1,1,1,1
"9519","NACAP","Network of Aquaculture Centers in Asia-Pac",2005,0,1,0,0,0,1,0,0,0,0,0,0,1
"9546","NAFO","NW Atlantic Fish Org",2005,1,0,0,0,0,0,0,0,0,0,0,1,0
"9654","NASCO","North Atlantic Salmon Conserv. Org.",2005,1,0,0,0,0,0,0,0,0,0,0,1,0
"9908","NPAFC","North Pacific Anadromous Fish Commission",2005,1,0,0,0,0,0,0,0,0,0,0,1,0
"10328","OCR","Org for the Collaboration of Railways",2005,1,1,0,0,1,0,1,1,1,1,1,0,0
"10448","OIC","Org. Islamic Conference",2005,0,0,1,0,1,0,1,1,1,1,1,0,1
"10450","OIV","International Organization of Vine and Wine",2005,1,1,0,0,0,0,0,0,0,0,0,0,0
"10511","OPANAL","Agency for Prohib. of Nuclear Arms in Latin Am.",2005,0,0,0,0,0,0,0,0,0,0,0,0,0
"10586","OSCE","Org. Security Cooperation Europe",2005,1,0,0,1,0,0,1,1,1,1,1,1,0
"10865","PCA","Permanent Court of Arbitration",2005,1,1,0,0,1,1,0,1,0,0,0,1,1
"10989","PIARC","World Road Assn",2005,1,1,0,0,1,1,0,0,0,0,1,1,1
"11047","PICES","North Pac. Marine Science Org.",2005,1,1,0,0,0,0,0,0,0,0,0,1,0
"11097","PIPD","Partners in Population & Development",2005,0,1,0,0,0,1,0,0,0,0,0,0,1
"11279","RCC","Reg Commonwealth in the Field of Comm",2005,1,0,0,1,0,0,1,1,1,1,1,0,0
"11393","SAARC","South Asian Assoc Regional Coop",2005,0,0,0,0,0,1,0,0,0,0,0,0,1
"11416","SACEP","S. Asia Coop. Environment Prog.",2005,0,0,1,0,0,1,0,0,0,0,0,0,1
"11932","Turksoy","Joint Admin. of Turkish Culture & Arts",2005,0,0,0,0,0,0,1,1,0,1,1,0,0
"12151","UN","United Nations",2005,1,1,1,1,1,1,1,1,1,1,1,1,1
"12199","UNDROIT","Intl Instit for Unification of Private Law",2005,1,1,0,0,1,1,0,0,0,0,0,1,1
"12244","UNESCO","UN Education, Scientific, & Cultural Org",2005,1,1,1,1,1,1,1,1,1,1,1,0,1
"12284","UNIDO","UN Industrial Development Org",2005,1,1,1,1,1,1,1,1,1,1,1,0,1
"12344","UPU","Universal Postal Union",2005,1,1,1,1,1,1,1,1,1,1,1,1,1
"12408","VASAB","Vision & Strategies Around Baltic Sea",2005,1,0,0,0,0,0,0,0,0,0,0,0,0
"12450","WAEC","West Afr. Examinations Council",2005,0,0,0,0,0,0,0,0,0,0,0,0,0
"12484","WAHO","West African Health Organization",2005,0,0,0,0,0,0,0,0,0,0,0,0,0
"12581","WCO","World Customs Org",2005,1,1,0,1,1,1,1,1,1,1,1,1,1
"12671","WHO","World Health Org",2005,1,1,1,1,1,1,1,1,1,1,1,1,1
"12710","WIPO","World Intell Prop Org",2005,1,1,1,1,0,1,1,1,1,1,1,1,1
"12755","WMO","World Meteorological Org",2005,1,1,1,1,1,1,1,1,1,1,1,1,1
"12815","WTO","World Trade Org",2005,0,1,0,1,0,1,0,1,0,0,0,1,1
"12846","WTOURO","World Tourism Org.",2005,1,1,1,1,1,1,1,1,0,1,1,0,1
"12856","Wassen","Wassenaar Arrangement",2005,1,0,0,0,0,0,0,0,0,0,0,1,0
